"Labor Force Statistics from the Current Population Survey","","","","","","","","","","","",""
"Original Data Value","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Series Id:","LNS13000000","","","","","","","","","","",""
"Seasonally Adjusted","","","","","","","","","","","",""
"Series title:","(Seas) Unemployment Level","","","","","","","","","","",""
"Labor force status:","Unemployed","","","","","","","","","","",""
"Type of data:","Number in thousands","","","","","","","","","","",""
"Age:","16 years and over","","","","","","","","","","",""
"Years:","2020 to 2020","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2020.0","5892.0","5787.0","7140.0","23078.0","20985.0","17750.0","16338.0","13550.0","12580.0","11061.0","",""
